"mcp_code","week_num","cumul_week"
11054,"33",20867
11054,"34",21239
11054,"35",21326
11054,"36",21407
11054,"37",21477
11054,"38",21678
11054,"39",21881
11054,"4",448
11054,"40",22109
11054,"41",22384
11054,"42",22458
11054,"43",22544
11054,"44",22650
11054,"45",22785
11054,"46",23281
11054,"47",24429
11054,"48",25160
11054,"49",26141
11054,"5",560
11054,"50",27259
11054,"51",27758
11054,"52",28835
11054,"6",700
11054,"7",958
11054,"8",1060
11054,"9",1324
11055,"1",31
11055,"10",3325
11055,"11",3797
11055,"12",4440
11055,"13",5340
11055,"14",6515
11055,"15",7459
11055,"16",8849
11055,"17",9640
11055,"18",11325
11055,"19",12567
11055,"2",389
11055,"20",14469
11055,"21",15970
11055,"22",18109
11055,"23",20228
11055,"24",22205
11055,"25",24132
11055,"26",25597
11055,"27",27145
11055,"28",29298
11055,"29",30914
11055,"3",595
11055,"30",32359
11055,"31",34205
11055,"32",35102
11055,"33",35567
11055,"34",36246
11055,"35",36430
11055,"36",36571
11055,"37",36703
11055,"38",37072
11055,"39",37378
11055,"4",845
11055,"40",37769
11055,"41",38387
11055,"42",38463
11055,"43",38707
11055,"44",38899
11055,"45",39128
11055,"46",39927
11055,"47",42167
11055,"48",43426
11055,"49",45113
11055,"5",1245
11055,"50",46916
11055,"51",47798
11055,"52",49583
11055,"6",1468
11055,"7",1899
11055,"8",2168
11055,"9",2701
11056,"10",2122
11056,"11",2571
11056,"12",2873
11056,"13",3462
11056,"14",4263
11056,"15",5315
11056,"16",5944
11056,"17",6564
11056,"18",8005
11056,"19",8886
11056,"2",271
11056,"20",10414
11056,"21",11301
11056,"22",13104
11056,"23",14999
11056,"24",17000
11056,"25",18202
11056,"26",19660
11056,"27",21691
11056,"28",22655
11056,"29",24511
11056,"3",560
11056,"30",25719
11056,"31",27223
11056,"32",27993
11056,"33",28428
11056,"34",29126
11056,"35",29346
11056,"36",29515
11056,"37",29721
11056,"38",30015
11056,"39",30346
11056,"4",652
11056,"40",30838
11056,"41",30944
11056,"42",31175
11056,"43",31251
11056,"44",31441
11056,"45",31634
11056,"46",31995
11056,"47",32814
11056,"48",33691
11056,"49",34730
11056,"5",970
11056,"50",35783
11056,"51",36876
11056,"52",37124
11056,"6",1260
11056,"7",1437
11056,"8",1617
11056,"9",1801
11057,"1",15
11057,"10",2415
11057,"11",2846
11057,"12",3256
11057,"13",3763
11057,"14",4415
11057,"15",4955
11057,"16",5867
11057,"17",6362
11057,"18",7507
11057,"19",8247
11057,"2",250
11057,"20",9595
11057,"21",10665
11057,"22",12120
11057,"23",13593
11057,"24",14942
11057,"25",16442
11057,"26",17494
11057,"27",18572
11057,"28",20109
11057,"29",21294
11057,"3",438
11057,"30",22363
11057,"31",23794
11057,"32",24430
11057,"33",24797
11057,"34",25304
11057,"35",25429
11057,"36",25538
11057,"37",25630
11057,"38",25845
11057,"39",26071
11057,"4",705
11057,"40",26222
11057,"41",26739
11057,"42",26824
11057,"43",26952
11057,"44",27046
11057,"45",27200
11057,"46",27761
11057,"47",29181
11057,"48",30001
11057,"49",31187
11057,"5",979
11057,"50",32450
11057,"51",33071
11057,"52",34229
11057,"6",1180
11057,"7",1487
11057,"8",1786
11057,"9",2114
12002,"1",167
12002,"10",1603
12002,"11",1814
12002,"12",2022
12002,"13",2389
12002,"14",2870
